r_m c_kg_per_m3 X_kg_per_kg
0.000000000000000000e+00 1.643412002905149549e+01 9.928144708155498543e-01
1.000000000000000082e-05 1.643415836993257884e+01 9.928167341044766836e-01
2.000000000000000164e-05 1.643435000400241108e+01 9.928280398906674797e-01
3.000000000000000415e-05 1.643457962759578805e+01 9.928415834947469376e-01
4.000000000000000327e-05 1.643488537146937034e+01 9.928596020391921018e-01
5.000000000000000240e-05 1.643526688605760100e+01 9.928820617398060877e-01
6.000000000000000830e-05 1.643572373935367281e+01 9.929089205618093494e-01
7.000000000000000742e-05 1.643625541784111732e+01 9.929401283499742492e-01
8.000000000000000654e-05 1.643686132759998131e+01 9.929756269835682270e-01
9.000000000000000567e-05 1.643754079558388881e+01 9.930153505554296656e-01
1.000000000000000048e-04 1.643829307106400250e+01 9.930592255744357111e-01
1.100000000000000039e-04 1.643911732723495334e+01 9.931071711904858601e-01
1.200000000000000166e-04 1.644001266297781072e+01 9.931590994410485207e-01
1.300000000000000157e-04 1.644097810477408217e+01 9.932149155182454781e-01
1.400000000000000148e-04 1.644201260876488746e+01 9.932745180553343989e-01
1.500000000000000140e-04 1.644311506294841863e+01 9.933377994314124271e-01
1.600000000000000131e-04 1.644428428950895693e+01 9.934046460930386901e-01
1.700000000000000122e-04 1.644551904726980851e+01 9.934749388914883017e-01
1.800000000000000113e-04 1.644681803426250255e+01 9.935485534342238800e-01
1.900000000000000105e-04 1.644817989040428685e+01 9.936253604491400715e-01
2.000000000000000096e-04 1.644960320027534095e+01 9.937052261601376779e-01
2.100000000000000087e-04 1.645108649598733663e+01 9.937880126724889518e-01
2.200000000000000078e-04 1.645262826013436452e+01 9.938735783664525147e-01
2.300000000000000070e-04 1.645422692881738058e+01 9.939617782976137850e-01
2.400000000000000332e-04 1.645588089473282167e+01 9.940524646023422006e-01
2.500000000000000052e-04 1.645758851031640546e+01 9.941454869068325761e-01
2.600000000000000314e-04 1.645934809093257556e+01 9.942406927381404191e-01
2.700000000000000035e-04 1.646115791810040463e+01 9.943379279356708844e-01
2.800000000000000297e-04 1.646301624274654074e+01 9.944370370615854826e-01
2.900000000000000017e-04 1.646492128847589598e+01 9.945378638086198597e-01
3.000000000000000279e-04 1.646687125485091130e+01 9.946402514038416021e-01
3.099999999999999999e-04 1.646886432067018902e+01 9.947440430069187656e-01
3.200000000000000262e-04 1.647089864723768216e+01 9.948490821015113506e-01
3.300000000000000524e-04 1.647297238161344168e+01 9.949552128784593386e-01
3.400000000000000244e-04 1.647508365983753720e+01 9.950622806094915340e-01
3.500000000000000507e-04 1.647723061011866008e+01 9.951701320102500636e-01
3.600000000000000227e-04 1.647941135597941908e+01 9.952786155914890021e-01
3.700000000000000489e-04 1.648162401935055854e+01 9.953875819973845296e-01
3.800000000000000209e-04 1.648386672360643956e+01 9.954968843299637493e-01
3.900000000000000471e-04 1.648613759653502342e+01 9.956063784587473320e-01
4.000000000000000192e-04 1.648843477323513440e+01 9.957159233147774291e-01
4.100000000000000454e-04 1.649075639893509404e+01 9.958253811682949985e-01
4.200000000000000174e-04 1.649310063172629270e+01 9.959346178894109558e-01
4.300000000000000436e-04 1.649546564520648673e+01 9.960435031912097115e-01
4.400000000000000157e-04 1.649784963102750268e+01 9.961519108548089196e-01
4.500000000000000419e-04 1.650025080134255973e+01 9.962597189359960748e-01
4.600000000000000139e-04 1.650266739114920611e+01 9.963668099531399758e-01
4.700000000000000401e-04 1.650509766052379490e+01 9.964730710561771065e-01
4.800000000000000664e-04 1.650753989674429434e+01 9.965783941765519183e-01
4.900000000000000926e-04 1.650999241629844150e+01 9.966826761580772631e-01
5.000000000000000104e-04 1.651245356677487663e+01 9.967858188687694909e-01
5.100000000000000366e-04 1.651492172863522967e+01 9.968877292937882162e-01
5.200000000000000629e-04 1.651739531686557783e+01 9.969883196096911426e-01
5.300000000000000891e-04 1.651987278250622637e+01 9.970875072402902717e-01
5.400000000000000069e-04 1.652235261405924405e+01 9.971852148944678751e-01
5.500000000000000331e-04 1.652483333877325578e+01 9.972813705863770029e-01
5.600000000000000594e-04 1.652731352380593677e+01 9.973759076385103617e-01
5.700000000000000856e-04 1.652979177726472315e+01 9.974687646681912323e-01
5.800000000000000034e-04 1.653226674912659533e+01 9.975598855580825042e-01
5.900000000000000296e-04 1.653473713203842976e+01 9.976492194113709688e-01
6.000000000000000559e-04 1.653720166199947883e+01 9.977367204923144328e-01
6.100000000000000821e-04 1.653965911892818852e+01 9.978223481528959438e-01
6.199999999999999999e-04 1.654210832711543944e+01 9.979060667463499623e-01
6.300000000000000261e-04 1.654454815556717406e+01 9.979878455283628380e-01
6.400000000000000524e-04 1.654697751823907481e+01 9.980676585467749273e-01
6.500000000000000786e-04 1.654939537416657203e+01 9.981454845206210180e-01
6.600000000000001048e-04 1.655180072749369913e+01 9.982213067093781422e-01
6.700000000000000226e-04 1.655419262740417707e+01 9.982951127732823116e-01
6.800000000000000488e-04 1.655657016795884218e+01 9.983668946255914722e-01
6.900000000000000751e-04 1.655893248784311922e+01 9.984366482776693141e-01
7.000000000000001013e-04 1.656127877002892390e+01 9.985043736777587942e-01
7.100000000000000191e-04 1.656360824135507315e+01 9.985700745443112369e-01
7.200000000000000453e-04 1.656592017203060152e+01 9.986337581947168918e-01
7.300000000000000716e-04 1.656821387506553123e+01 9.986954353702764964e-01
7.400000000000000978e-04 1.657048870563346910e+01 9.987551200582268640e-01
7.500000000000000156e-04 1.657274406037063130e+01 9.988128293116134149e-01
7.600000000000000418e-04 1.657497937661582199e+01 9.988685830677768163e-01
7.700000000000000681e-04 1.657719413159604116e+01 9.989224039661930288e-01
7.800000000000000943e-04 1.657938784156208811e+01 9.989743171663747479e-01
7.900000000000000121e-04 1.658156006087889978e+01 9.990243501665097003e-01
8.000000000000000383e-04 1.658371038107488360e+01 9.990725326234755066e-01
8.100000000000000646e-04 1.658583842985474988e+01 9.991188961748357356e-01
8.200000000000000908e-04 1.658794387008024529e+01 9.991634742633832555e-01
8.300000000000001170e-04 1.659002639872285201e+01 9.992063019647591249e-01
8.400000000000000348e-04 1.659208574579265161e+01 9.992474158186346322e-01
8.500000000000000611e-04 1.659412167324746434e+01 9.992868536639030186e-01
8.600000000000000873e-04 1.659613397388596923e+01 9.993246544782947716e-01
8.700000000000001135e-04 1.659812247022872356e+01 9.993608582227752057e-01
8.800000000000000313e-04 1.660008701339053871e+01 9.993955056910618362e-01
8.900000000000000576e-04 1.660202748194783950e+01 9.994286383645436533e-01
9.000000000000000838e-04 1.660394378080410860e+01 9.994602982728532092e-01
9.100000000000001100e-04 1.660583584005674851e+01 9.994905278603088972e-01
9.200000000000000278e-04 1.660770361386818905e+01 9.995193698583937358e-01
9.300000000000000541e-04 1.660954707934415708e+01 9.995468671644187619e-01
9.400000000000000803e-04 1.661136623542163804e+01 9.995730627264709511e-01
9.500000000000001065e-04 1.661316110176910854e+01 9.995979994347222730e-01
9.600000000000001327e-04 1.661493171770124277e+01 9.996217200191355179e-01
9.700000000000000505e-04 1.661667814111022068e+01 9.996442669535813286e-01
9.800000000000001852e-04 1.661840044741570566e+01 9.996656823663488955e-01
9.899999999999999946e-04 1.662009872853506209e+01 9.996860079569995783e-01
1.000000000000000021e-03 1.662177309187567786e+01 9.997052849195011692e-01
