z_m c_kg_per_m3 X_kg_per_kg
0.000000000000000000e+00 7.300000000000000065e-03 5.156853076538830960e-02
1.000000000000000021e-02 7.299999962220282343e-03 5.156853008133623767e-02
2.000000000000000042e-02 7.299999799042986882e-03 5.156852724409337341e-02
2.999999999999999889e-02 7.299999286648546637e-03 5.156851869947700479e-02
4.000000000000000083e-02 7.299997947033390853e-03 5.156849723489975723e-02
5.000000000000000278e-02 7.299994859247651083e-03 5.156844957509484906e-02
5.999999999999999778e-02 7.299988382756028571e-03 5.156835303123535191e-02
7.000000000000000666e-02 7.299975772634068050e-03 5.156817105283930530e-02
8.000000000000000167e-02 7.299952667432611092e-03 5.156784756372307515e-02
8.999999999999999667e-02 7.299912433414552926e-03 5.156730001089852161e-02
1.000000000000000056e-01 7.299845353453160088e-03 5.156641111574256781e-02
1.100000000000000006e-01 7.299737655080090586e-03 5.156501938717825140e-02
1.199999999999999956e-01 7.299570379758305548e-03 5.156290853332662349e-02
1.300000000000000044e-01 7.299318104091887839e-03 5.155979598686370041e-02
1.400000000000000133e-01 7.298947532942840107e-03 5.155532083560336598e-02
1.499999999999999944e-01 7.298415993813364873e-03 5.154903151909551867e-02
1.600000000000000033e-01 7.297669870850123468e-03 5.154037371005802670e-02
1.700000000000000122e-01 7.296643024916724292e-03 5.152867884259381553e-02
1.799999999999999933e-01 7.295255252880049855e-03 5.151315377450493838e-02
1.900000000000000022e-01 7.293410844146700628e-03 5.149287207665525362e-02
2.000000000000000111e-01 7.290997295237917029e-03 5.146676742732691351e-02
2.099999999999999922e-01 7.287884243580219912e-03 5.143362955398139008e-02
2.200000000000000011e-01 7.283922679607185598e-03 5.139210310989931335e-02
2.300000000000000100e-01 7.278944491726790228e-03 5.134068980087891365e-02
2.399999999999999911e-01 7.272762391838011146e-03 5.127775399034664033e-02
2.500000000000000000e-01 7.265170260115776622e-03 5.120153191331341253e-02
2.600000000000000089e-01 7.255943937053900561e-03 5.111014452445886147e-02
2.700000000000000178e-01 7.244842478664540765e-03 5.100161389733021827e-02
2.800000000000000266e-01 7.231609877735449381e-03 5.087388298431525652e-02
2.899999999999999800e-01 7.215977240628886763e-03 5.072483844464573122e-02
2.999999999999999889e-01 7.197665395761175360e-03 5.055233615384227552e-02
3.099999999999999978e-01 7.176387897108082482e-03 5.035422892589767191e-02
3.200000000000000067e-01 7.151854374282528605e-03 5.012839591171729808e-02
3.300000000000000155e-01 7.123774170320341416e-03 4.987277308586057778e-02
3.400000000000000244e-01 7.091860199615586391e-03 4.958538419973838873e-02
3.500000000000000333e-01 7.055832951723280642e-03 4.926437156371499260e-02
3.599999999999999867e-01 7.015424562168059638e-03 4.890802602296581009e-02
3.699999999999999956e-01 6.970382869054284058e-03 4.851481551176354406e-02
3.800000000000000044e-01 6.920475374177227981e-03 4.808341160685595389e-02
3.900000000000000133e-01 6.865493029420628550e-03 4.761271355105027581e-02
4.000000000000000222e-01 6.805253773359177735e-03 4.710186928093922087e-02
4.100000000000000311e-01 6.739605748970923550e-03 4.655029306553761653e-02
4.199999999999999845e-01 6.668430140961568303e-03 4.595767944291349189e-02
4.299999999999999933e-01 6.591643580129866349e-03 4.532401322709395802e-02
4.400000000000000022e-01 6.509200072156196525e-03 4.464957544502486109e-02
4.500000000000000111e-01 6.421092418856659198e-03 4.393494515068867290e-02
4.600000000000000200e-01 6.327353110993375052e-03 4.318099714833877750e-02
4.700000000000000289e-01 6.228054682857556319e-03 4.238889573712639053e-02
4.799999999999999822e-01 6.123309529752507009e-03 4.156008466339312923e-02
4.899999999999999911e-01 6.013269199932677091e-03 4.069627353310456552e-02
5.000000000000000000e-01 5.898123182266988736e-03 3.979942099415966633e-02
5.100000000000000089e-01 5.778097219691780660e-03 3.887171504581635184e-02
5.200000000000000178e-01 5.653451186241545065e-03 3.791555086973555366e-02
5.300000000000000266e-01 5.524476571975816055e-03 3.693350660399143115e-02
5.400000000000000355e-01 5.391493625380002798e-03 3.592831749793218982e-02
5.500000000000000444e-01 5.254848206767926896e-03 3.490284889237402904e-02
5.600000000000000533e-01 5.114908408852295377e-03 3.386006846685669924e-02
5.700000000000000622e-01 4.972061002007595321e-03 3.280301818435657490e-02
5.799999999999999600e-01 4.826707761888903055e-03 3.173478634485819155e-02
5.899999999999999689e-01 4.679261736075803271e-03 3.065848013354992296e-02
5.999999999999999778e-01 4.530143504389148867e-03 2.957719901822312286e-02
6.099999999999999867e-01 4.379777484601658777e-03 2.849400931483831237e-02
6.199999999999999956e-01 4.228588331564103568e-03 2.741192020129670781e-02
6.300000000000000044e-01 4.076997473435833678e-03 2.633386141831324870e-02
6.400000000000000133e-01 3.925419823883084455e-03 2.526266285396489703e-02
6.500000000000000222e-01 3.774260703930014740e-03 2.420103616594997120e-02
6.600000000000000311e-01 3.623913001750603876e-03 2.315155855371341109e-02
