z_m c_kg_per_m3 X_kg_per_kg
0.000000000000000000e+00 7.300000000000000065e-03 3.441949999999999871e-02
1.000000000000000021e-02 7.299999999989947343e-03 3.441949999988465347e-02
2.000000000000000042e-02 7.299999999940872883e-03 3.441949999932496229e-02
2.999999999999999889e-02 7.299999999762537238e-03 3.441949999733024540e-02
4.000000000000000083e-02 7.299999999218613825e-03 3.441949999138520927e-02
5.000000000000000278e-02 7.299999997751129704e-03 3.441949997571947667e-02
5.999999999999999778e-02 7.299999994145935436e-03 3.441949993811813796e-02
7.000000000000000666e-02 7.299999985930773379e-03 3.441949985435100584e-02
8.000000000000000167e-02 7.299999968343658455e-03 3.441949967888882633e-02
8.999999999999999667e-02 7.299999932637875506e-03 3.441949933004979922e-02
1.000000000000000056e-01 7.299999863398446212e-03 3.441949866707380568e-02
1.100000000000000006e-01 7.299999734431732168e-03 3.441949745585137777e-02
1.199999999999999956e-01 7.299999502653801986e-03 3.441949531914634264e-02
1.300000000000000044e-01 7.299999099244962666e-03 3.441949166615983907e-02
1.400000000000000133e-01 7.299998417158992496e-03 3.441948559521451623e-02
1.499999999999999944e-01 7.299997293880141486e-03 3.441947576222723071e-02
1.600000000000000033e-01 7.299995488114141215e-03 3.441946020653438576e-02
1.700000000000000122e-01 7.299992648889030988e-03 3.441943612459094637e-02
1.799999999999999933e-01 7.299988275336842178e-03 3.441939958115017295e-02
1.900000000000000022e-01 7.299981665239314681e-03 3.441934514681359997e-02
2.000000000000000111e-01 7.299971850262024567e-03 3.441926545039652313e-02
2.099999999999999922e-01 7.299957515685289756e-03 3.441915063445449147e-02
2.200000000000000011e-01 7.299936902380269391e-03 3.441898770263099316e-02
2.300000000000000100e-01 7.299907688788516251e-03 3.441875974827579565e-02
2.399999999999999911e-01 7.299866850754998041e-03 3.441844505509633612e-02
2.500000000000000000e-01 7.299810497249212618e-03 3.441801606247268941e-02
2.600000000000000089e-01 7.299733680294589848e-03 3.441743819050604308e-02
2.700000000000000178e-01 7.299630177818348248e-03 3.441666852287106337e-02
2.800000000000000266e-01 7.299492248633900233e-03 3.441565434907587623e-02
2.899999999999999800e-01 7.299310359373651323e-03 3.441433157174462326e-02
2.999999999999999889e-01 7.299072883894773545e-03 3.441262298894871147e-02
3.099999999999999978e-01 7.298765776473590747e-03 3.441043646632541142e-02
3.200000000000000067e-01 7.298372220969974108e-03 3.440766301861707815e-02
3.300000000000000155e-01 7.297872259062605955e-03 3.440417482520461562e-02
3.400000000000000244e-01 7.297242401605953145e-03 3.439982320904856616e-02
3.500000000000000333e-01 7.296455228114599560e-03 3.439443661303428351e-02
3.599999999999999867e-01 7.295478980311968092e-03 3.438781861188628525e-02
3.699999999999999956e-01 7.294277156559166725e-03 3.437974600141840281e-02
3.800000000000000044e-01 7.292808114775618279e-03 3.436996700977284352e-02
3.900000000000000133e-01 7.291024692147555532e-03 3.435819967734309727e-02
4.000000000000000222e-01 7.288873850465352189e-03 3.434413045315942020e-02
4.100000000000000311e-01 7.286296356311713039e-03 3.432741305555134931e-02
4.199999999999999845e-01 7.283226505518144121e-03 3.430766764382790768e-02
4.299999999999999933e-01 7.279591901300379135e-03 3.428448034549889251e-02
4.400000000000000022e-01 7.275313295262359099e-03 3.425740318019820235e-02
4.500000000000000111e-01 7.270304500016746760e-03 3.422595441699288754e-02
4.600000000000000200e-01 7.264472381507282479e-03 3.418961939623037932e-02
4.700000000000000289e-01 7.257716938240201671e-03 3.414785184058371365e-02
4.799999999999999822e-01 7.249931473549803794e-03 3.410007567261888473e-02
4.899999999999999911e-01 7.241002865754493124e-03 3.404568734817439019e-02
5.000000000000000000e-01 7.230811939626657914e-03 3.398405870627536907e-02
5.100000000000000089e-01 7.219233941029920033e-03 3.391454032738279445e-02
5.200000000000000178e-01 7.206139114901900788e-03 3.383646538269523968e-02
5.300000000000000266e-01 7.191393385013864457e-03 3.374915394817304404e-02
5.400000000000000355e-01 7.174859132157510207e-03 3.365191774814074721e-02
5.500000000000000444e-01 7.156396065631199024e-03 3.354406528493666245e-02
5.600000000000000533e-01 7.135862181161431103e-03 3.342490730330148485e-02
5.700000000000000622e-01 7.113114796737770619e-03 3.329376253120046314e-02
5.799999999999999600e-01 7.088011656296197040e-03 3.314996363270614893e-02
5.899999999999999689e-01 7.060412089790316960e-03 3.299286330355984120e-02
5.999999999999999778e-01 7.030178216971417170e-03 3.282184043618326802e-02
6.099999999999999867e-01 6.997176181182966116e-03 3.263630627830527847e-02
